segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-20T13:34:39.770099,A,240p,200,1117.09,0.179,19.88,3.98,2.0,1,0,0.0,0
1,2026-06-20T13:34:40.247691,A,480p,600,1256.83,0.477,18.78,6.94,3.52,1,0,0.0,0
2,2026-06-20T13:34:40.961107,A,720p,900,1262.15,0.713,21.89,9.93,4.81,1,0,0.0,0
3,2026-06-20T13:34:41.688535,A,720p,900,1237.59,0.727,24.22,12.79,6.08,1,0,0.0,0
4,2026-06-20T13:34:42.367247,A,720p,900,1326.61,0.678,16.35,13.5,7.4,1,0,0.0,0
5,2026-06-20T13:34:43.069418,A,720p,900,1282.13,0.702,21.78,15.15,8.7,1,0,0.0,0
6,2026-06-20T13:34:43.773427,A,720p,900,1279.08,0.704,17.11,15.55,10.0,1,0,0.0,0
7,2026-06-20T13:34:44.491870,A,720p,900,1253.34,0.718,22.57,16.95,11.28,1,0,0.0,0
8,2026-06-20T13:34:46.492216,A,720p,900,1250.13,0.72,19.29,17.42,11.28,1,0,0.0,0
9,2026-06-20T13:34:48.483503,A,720p,900,1262.34,0.713,20.36,18.01,11.29,1,0,0.0,0
10,2026-06-20T13:34:50.489774,A,720p,900,1260.1,0.714,20.65,18.54,11.28,1,0,0.0,0
11,2026-06-20T13:34:52.497373,A,720p,900,1246.76,0.722,19.09,18.65,11.27,1,0,0.0,0
12,2026-06-20T13:34:54.507811,A,720p,900,1221.97,0.737,20.76,19.07,11.26,1,0,0.0,0
13,2026-06-20T13:34:56.488996,A,720p,900,1261.46,0.713,21.4,19.54,11.28,1,0,0.0,0
14,2026-06-20T13:34:58.495324,A,720p,900,1250.34,0.72,20.24,19.68,11.27,1,0,0.0,0
15,2026-06-20T13:35:00.491401,A,720p,900,1257.23,0.716,23.4,20.42,11.28,1,0,0.0,0
16,2026-06-20T13:35:02.481878,A,720p,900,1274.1,0.706,18.37,20.01,11.29,1,0,0.0,0
17,2026-06-20T13:35:04.494423,A,720p,900,1251.67,0.719,19.69,19.95,11.28,1,0,0.0,0
18,2026-06-20T13:35:06.490174,A,720p,900,1258.45,0.715,21.61,20.28,11.28,1,0,0.0,0
19,2026-06-20T13:35:08.483997,A,720p,900,1270.39,0.708,21.13,20.45,11.29,1,0,0.0,0
