segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T21:27:57.887776,A,240p,200,1231.66,0.162,5.27,1.05,2.0,1,0,0.0,0
1,2026-06-07T21:27:58.568966,A,480p,700,1027.79,0.681,1.74,1.19,3.32,1,0,0.0,0
2,2026-06-07T21:27:59.039319,A,480p,700,1488.97,0.47,1.65,1.28,4.85,1,0,0.0,0
3,2026-06-07T21:27:59.545959,A,480p,700,1382.42,0.506,1.75,1.38,6.34,1,0,0.0,0
4,2026-06-07T21:28:00.000797,A,480p,700,1539.83,0.455,2.62,1.62,7.89,1,0,0.0,0
5,2026-06-07T21:28:00.604122,A,480p,700,1160.66,0.603,2.33,1.77,9.28,1,0,0.0,0
6,2026-06-07T21:28:01.098227,A,480p,700,1417.35,0.494,2.2,1.85,10.79,1,0,0.0,0
7,2026-06-07T21:28:01.629370,A,480p,700,1318.47,0.531,2.42,1.96,12.26,1,0,0.0,0
8,2026-06-07T21:28:02.546308,A,480p,700,763.59,0.917,2.19,2.01,13.34,1,0,0.0,0
9,2026-06-07T21:28:03.432972,A,480p,700,789.68,0.886,2.56,2.12,14.45,1,0,0.0,0
10,2026-06-07T21:28:04.125746,A,480p,700,1010.74,0.693,2.6,2.22,15.76,1,0,0.0,0
11,2026-06-07T21:28:04.504084,A,360p,400,1057.85,0.378,3.06,2.38,17.38,1,0,0.0,0
12,2026-06-07T21:28:05.197141,A,480p,700,1010.34,0.693,2.22,2.35,18.69,1,0,0.0,0
13,2026-06-07T21:28:05.921671,A,480p,700,966.45,0.724,2.55,2.39,19.97,1,0,0.0,0
14,2026-06-07T21:28:06.585458,A,480p,700,1054.9,0.664,3.26,2.56,21.3,1,0,0.0,0
15,2026-06-07T21:28:08.550705,A,480p,700,1058.84,0.661,2.53,2.56,21.34,1,0,0.0,0
16,2026-06-07T21:28:10.665897,A,480p,700,901.67,0.776,2.43,2.53,21.22,1,0,0.0,0
17,2026-06-07T21:28:12.661091,A,480p,700,907.47,0.771,3.17,2.66,21.23,1,0,0.0,0
18,2026-06-07T21:28:14.737287,A,480p,700,829.16,0.844,2.68,2.66,21.15,1,0,0.0,0
19,2026-06-07T21:28:16.716517,A,480p,700,848.86,0.825,3.31,2.79,21.17,1,0,0.0,0
20,2026-06-07T21:28:18.289867,A,360p,400,1007.87,0.397,3.85,3.0,21.6,1,0,0.0,0
21,2026-06-07T21:28:20.735537,A,480p,700,830.76,0.843,2.12,2.83,21.15,1,0,0.0,0
22,2026-06-07T21:28:22.622662,A,480p,700,956.54,0.732,2.96,2.85,21.27,1,0,0.0,0
23,2026-06-07T21:28:24.713243,A,480p,700,848.62,0.825,3.69,3.02,21.17,1,0,0.0,0
24,2026-06-07T21:28:26.699745,A,480p,700,863.49,0.811,2.74,2.96,21.19,1,0,0.0,0
25,2026-06-07T21:28:28.655011,A,480p,700,918.71,0.762,3.29,3.03,21.23,1,0,0.0,0
26,2026-06-07T21:28:30.687007,A,480p,700,881.57,0.794,2.65,2.95,21.2,1,0,0.0,0
27,2026-06-07T21:28:32.577658,A,480p,700,1015.9,0.689,2.26,2.82,21.31,1,0,0.0,0
28,2026-06-07T21:28:34.552709,A,480p,700,1054.05,0.664,1.8,2.61,21.34,1,0,0.0,0
29,2026-06-07T21:28:36.638266,A,480p,700,935.37,0.748,2.57,2.61,21.25,1,0,0.0,0
