segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T20:16:20.850982,A,240p,200,1216.08,0.164,5.06,1.01,2.0,1,0,0.0,0
1,2026-06-07T20:16:21.038206,A,240p,200,1069.23,0.187,4.87,1.78,3.81,1,0,0.0,0
2,2026-06-07T20:16:21.177225,A,240p,200,1440.22,0.139,5.3,2.49,5.67,1,0,0.0,0
3,2026-06-07T20:16:21.469395,A,360p,400,1369.62,0.292,3.88,2.77,7.38,1,0,0.0,0
4,2026-06-07T20:16:21.739540,A,360p,400,1481.63,0.27,2.04,2.62,9.11,1,0,0.0,0
5,2026-06-07T20:16:22.083587,A,360p,400,1163.23,0.344,3.11,2.72,10.77,1,0,0.0,0
6,2026-06-07T20:16:22.564246,A,480p,700,1456.92,0.48,3.52,2.88,12.29,1,0,0.0,0
7,2026-06-07T20:16:23.098038,A,480p,700,1311.78,0.534,2.03,2.71,13.75,1,0,0.0,0
8,2026-06-07T20:16:24.004624,A,480p,700,772.24,0.906,2.67,2.7,14.85,1,0,0.0,0
9,2026-06-07T20:16:24.884128,A,480p,700,796.11,0.879,2.9,2.74,15.97,1,0,0.0,0
10,2026-06-07T20:16:25.572584,A,480p,700,1017.13,0.688,2.4,2.67,17.28,1,0,0.0,0
11,2026-06-07T20:16:26.220920,A,480p,700,1079.98,0.648,3.39,2.82,18.63,1,0,0.0,0
12,2026-06-07T20:16:26.902667,A,480p,700,1026.95,0.682,2.46,2.75,19.95,1,0,0.0,0
13,2026-06-07T20:16:27.622094,A,480p,700,973.18,0.719,2.89,2.77,21.23,1,0,0.0,0
14,2026-06-07T20:16:29.506657,A,480p,700,1076.22,0.65,2.52,2.72,21.34,1,0,0.0,0
15,2026-06-07T20:16:31.524301,A,480p,700,1045.83,0.669,2.53,2.69,21.33,1,0,0.0,0
16,2026-06-07T20:16:33.616869,A,480p,700,919.75,0.761,2.39,2.63,21.23,1,0,0.0,0
17,2026-06-07T20:16:35.639984,A,480p,700,890.79,0.786,2.35,2.57,21.21,1,0,0.0,0
18,2026-06-07T20:16:37.722228,A,480p,700,808.29,0.866,2.66,2.59,21.13,1,0,0.0,0
19,2026-06-07T20:16:39.679134,A,480p,700,849.2,0.824,3.11,2.69,21.17,1,0,0.0,0
20,2026-06-07T20:16:41.558131,A,480p,700,997.28,0.702,3.18,2.79,21.29,1,0,0.0,0
21,2026-06-07T20:16:43.671595,A,480p,700,857.02,0.817,2.74,2.78,21.18,1,0,0.0,0
22,2026-06-07T20:16:45.581732,A,480p,700,962.77,0.727,2.41,2.71,21.27,1,0,0.0,0
23,2026-06-07T20:16:47.694543,A,480p,700,834.97,0.838,3.27,2.82,21.16,1,0,0.0,0
24,2026-06-07T20:16:49.645986,A,480p,700,885.01,0.791,2.85,2.82,21.2,1,0,0.0,0
25,2026-06-07T20:16:51.636841,A,480p,700,895.22,0.782,2.67,2.79,21.21,1,0,0.0,0
26,2026-06-07T20:16:53.642581,A,480p,700,888.24,0.788,3.1,2.86,21.21,1,0,0.0,0
27,2026-06-07T20:16:55.545408,A,480p,700,1013.6,0.691,2.37,2.76,21.31,1,0,0.0,0
28,2026-06-07T20:16:57.510037,A,480p,700,1068.5,0.655,3.22,2.85,21.34,1,0,0.0,0
29,2026-06-07T20:16:59.598882,A,480p,700,942.55,0.743,2.95,2.87,21.25,1,0,0.0,0
