segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T21:29:16.959364,A,240p,200,1179.86,0.17,5.07,1.01,2.0,1,0,0.0,0
1,2026-06-07T21:29:17.119292,A,240p,200,1252.31,0.16,5.74,1.96,3.84,1,0,0.0,0
2,2026-06-07T21:29:17.284650,A,240p,200,1211.15,0.165,6.48,2.86,5.67,1,0,0.0,0
3,2026-06-07T21:29:17.610941,A,360p,400,1226.78,0.326,3.19,2.93,7.35,1,0,0.0,0
4,2026-06-07T21:29:17.938774,A,360p,400,1221.07,0.328,4.04,3.15,9.02,1,0,0.0,0
5,2026-06-07T21:29:18.275507,A,360p,400,1188.61,0.337,3.13,3.14,10.68,1,0,0.0,0
6,2026-06-07T21:29:18.849188,A,480p,700,1220.51,0.574,2.29,2.97,12.11,1,0,0.0,0
7,2026-06-07T21:29:19.432057,A,480p,700,1201.43,0.583,2.41,2.86,13.53,1,0,0.0,0
8,2026-06-07T21:29:20.017516,A,480p,700,1196.1,0.585,2.07,2.7,14.94,1,0,0.0,0
9,2026-06-07T21:29:20.598991,A,480p,700,1204.28,0.581,2.37,2.63,16.36,1,0,0.0,0
10,2026-06-07T21:29:21.177446,A,480p,700,1210.6,0.578,2.32,2.57,17.78,1,0,0.0,0
11,2026-06-07T21:29:21.735600,A,480p,700,1174.66,0.558,1.1,2.28,19.22,1,0,0.0,0
12,2026-06-07T21:29:22.563202,B,480p,700,848.36,0.825,2.3,2.28,20.4,1,0,0.0,1
13,2026-06-07T21:29:23.774191,B,480p,700,864.72,0.81,2.64,2.35,21.19,1,0,0.0,1
14,2026-06-07T21:29:25.783131,B,480p,700,855.23,0.818,2.31,2.34,21.18,1,0,0.0,1
15,2026-06-07T21:29:27.777097,B,480p,700,858.32,0.816,2.56,2.39,21.18,1,0,0.0,1
16,2026-06-07T21:29:29.782453,B,480p,700,855.94,0.818,2.56,2.42,21.18,1,0,0.0,1
17,2026-06-07T21:29:31.436721,B,360p,400,847.35,0.472,3.88,2.71,21.52,1,0,0.0,1
18,2026-06-07T21:29:33.434043,B,360p,400,852.16,0.469,3.56,2.88,21.53,1,0,0.0,1
19,2026-06-07T21:29:35.431543,B,360p,400,856.72,0.467,4.16,3.14,21.53,1,0,0.0,1
20,2026-06-07T21:29:37.420890,B,360p,400,876.67,0.456,4.75,3.46,21.54,1,0,0.0,1
21,2026-06-07T21:29:39.436168,B,360p,400,848.28,0.472,3.13,3.39,21.52,1,0,0.0,1
22,2026-06-07T21:29:41.431151,B,360p,400,857.39,0.467,4.98,3.71,21.53,1,0,0.0,1
23,2026-06-07T21:29:43.426013,B,360p,400,866.92,0.461,3.89,3.75,21.53,1,0,0.0,1
24,2026-06-07T21:29:45.435898,B,360p,400,848.77,0.471,3.61,3.72,21.52,1,0,0.0,1
25,2026-06-07T21:29:47.437398,B,360p,400,846.11,0.473,3.17,3.61,21.52,1,0,0.0,1
26,2026-06-07T21:29:49.428002,B,360p,400,863.2,0.463,4.56,3.8,21.53,1,0,0.0,1
27,2026-06-07T21:29:51.408093,B,360p,400,897.09,0.446,3.9,3.82,21.55,1,0,0.0,1
28,2026-06-07T21:29:53.426179,B,360p,400,863.56,0.463,3.69,3.8,21.53,1,0,0.0,1
29,2026-06-07T21:29:55.429731,B,360p,400,854.49,0.468,3.65,3.77,21.53,1,0,0.0,1
