segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-18T17:02:46.468233,A,240p,200,1110.5,0.36,15.49,3.1,2.0,1,0,0.0,0
1,2026-06-18T17:02:47.962886,A,480p,700,936.81,1.494,11.87,4.85,2.51,1,0,0.0,0
2,2026-06-18T17:02:49.275438,A,480p,700,1066.78,1.312,13.59,6.6,3.19,1,0,0.0,0
3,2026-06-18T17:02:50.561485,A,480p,700,1088.85,1.286,13.75,8.03,3.91,1,0,0.0,0
4,2026-06-18T17:02:51.918959,A,480p,700,1031.56,1.357,11.84,8.79,4.55,1,0,0.0,0
5,2026-06-18T17:02:53.877725,A,480p,700,995.0,1.407,10.07,9.05,4.59,1,0,0.0,0
6,2026-06-18T17:02:55.909779,A,480p,700,974.77,1.436,11.4,9.52,4.56,1,0,0.0,0
7,2026-06-18T17:02:57.974922,A,480p,700,931.54,1.503,12.09,10.03,4.49,1,0,0.0,0
8,2026-06-18T17:02:59.958883,A,480p,700,942.59,1.485,11.22,10.27,4.51,1,0,0.0,0
9,2026-06-18T17:03:01.828516,A,480p,700,1033.29,1.355,12.88,10.79,4.64,1,0,0.0,0
10,2026-06-18T17:03:06.426952,A,480p,700,353.84,3.957,12.61,11.16,2.04,1,0,0.0,0
11,2026-06-18T17:03:08.644716,A,360p,400,360.76,2.218,13.33,11.59,2.0,1,1,0.176,0
12,2026-06-18T17:03:10.941670,A,360p,400,348.33,2.297,13.18,11.91,2.0,1,1,0.297,0
13,2026-06-18T17:03:12.081740,A,240p,200,350.94,1.14,16.2,12.77,2.86,1,0,0.0,0
14,2026-06-18T17:03:13.225747,A,240p,200,349.73,1.144,13.98,13.01,3.72,1,0,0.0,0
15,2026-06-18T17:03:14.314097,A,240p,200,367.61,1.088,18.52,14.11,4.63,1,0,0.0,0
16,2026-06-18T17:03:16.234529,A,240p,200,310.07,1.29,14.52,14.19,4.71,1,0,0.0,0
17,2026-06-18T17:03:18.128019,A,240p,200,337.37,1.186,16.97,14.75,4.81,1,0,0.0,0
18,2026-06-18T17:03:20.235646,A,240p,200,309.88,1.291,19.75,15.75,4.71,1,0,0.0,0
19,2026-06-18T17:03:22.228003,A,240p,200,311.66,1.283,13.16,15.23,4.71,1,0,0.0,0
20,2026-06-18T17:03:24.112430,A,240p,200,343.22,1.165,14.05,15.0,4.83,1,0,0.0,0
21,2026-06-18T17:03:26.254624,A,240p,200,304.88,1.312,16.32,15.26,4.69,1,0,0.0,0
22,2026-06-18T17:03:28.188128,A,240p,200,322.28,1.241,18.47,15.9,4.75,1,0,0.0,0
23,2026-06-18T17:03:30.268482,A,240p,200,302.69,1.321,15.18,15.76,4.67,1,0,0.0,0
24,2026-06-18T17:03:32.238501,A,240p,200,309.72,1.291,15.83,15.77,4.7,1,0,0.0,0
25,2026-06-18T17:03:34.143404,A,240p,200,334.33,1.196,16.14,15.85,4.8,1,0,0.0,0
26,2026-06-18T17:03:36.207781,A,240p,200,317.26,1.261,15.85,15.85,4.73,1,0,0.0,0
27,2026-06-18T17:03:38.053368,A,240p,200,360.77,1.109,13.33,15.34,4.89,1,0,0.0,0
28,2026-06-18T17:03:40.036783,A,240p,200,367.05,1.09,13.75,15.03,4.9,1,0,0.0,0
29,2026-06-18T17:03:42.211224,A,240p,200,316.3,1.265,17.92,15.6,4.73,1,0,0.0,0
