segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-20T12:47:14.224172,A,240p,200,1324.91,0.302,3.15,0.63,2.0,1,0,0.0,0
1,2026-06-20T12:47:14.525037,A,240p,200,1331.36,0.3,3.31,1.17,3.7,1,0,0.0,0
2,2026-06-20T12:47:15.145474,A,360p,400,1290.75,0.62,1.04,1.14,5.08,1,0,0.0,0
3,2026-06-20T12:47:15.737506,A,360p,400,1352.68,0.591,2.29,1.37,6.49,1,0,0.0,0
4,2026-06-20T12:47:16.789691,A,480p,700,1331.44,1.051,1.41,1.38,7.43,1,0,0.0,0
5,2026-06-20T12:47:17.837910,A,480p,700,1336.51,1.048,1.56,1.41,8.39,1,0,0.0,0
6,2026-06-20T12:47:18.898657,A,480p,700,1320.74,1.06,1.14,1.36,9.33,1,0,0.0,0
7,2026-06-20T12:47:19.969353,A,480p,700,1308.39,1.07,1.53,1.39,10.25,1,0,0.0,0
8,2026-06-20T12:47:21.045925,A,480p,700,1301.0,1.076,1.02,1.32,11.18,1,0,0.0,0
9,2026-06-20T12:47:22.122939,A,480p,700,1300.81,1.076,0.99,1.25,12.1,1,0,0.0,0
10,2026-06-20T12:47:23.181677,A,480p,700,1323.26,1.058,1.45,1.29,13.04,1,0,0.0,0
11,2026-06-20T12:47:24.230712,A,480p,700,1335.46,1.048,1.47,1.33,13.99,1,0,0.0,0
12,2026-06-20T12:47:25.280922,A,480p,700,1334.03,1.049,1.5,1.36,14.94,1,0,0.0,0
13,2026-06-20T12:47:26.346435,A,480p,700,1314.92,1.065,1.43,1.38,15.88,1,0,0.0,0
14,2026-06-20T12:47:27.400475,A,480p,700,1329.01,1.053,1.48,1.4,16.82,1,0,0.0,0
15,2026-06-20T12:47:28.441774,A,480p,700,1345.19,1.041,1.85,1.49,17.78,1,0,0.0,0
16,2026-06-20T12:47:30.946922,A,480p,700,559.01,2.504,2.36,1.66,17.28,1,0,0.0,0
17,2026-06-20T12:47:32.399022,A,360p,400,551.2,1.451,1.86,1.7,17.83,1,0,0.0,0
18,2026-06-20T12:47:33.835339,A,360p,400,557.27,1.436,2.4,1.84,18.39,1,0,0.0,0
19,2026-06-20T12:47:34.559519,A,240p,200,552.92,0.723,4.44,2.36,19.66,1,0,0.0,0
20,2026-06-20T12:47:35.276117,A,240p,200,558.75,0.716,5.15,2.92,20.95,1,0,0.0,0
21,2026-06-20T12:47:37.274489,A,240p,200,382.93,1.045,11.92,4.72,20.95,1,0,0.0,0
22,2026-06-20T12:47:40.141423,A,360p,400,418.52,1.912,12.06,6.19,20.08,1,0,0.0,0
23,2026-06-20T12:47:41.178553,A,240p,200,421.0,0.95,13.07,7.57,21.05,1,0,0.0,0
24,2026-06-20T12:47:43.099674,A,240p,200,459.9,0.87,12.45,8.54,21.12,1,0,0.0,0
25,2026-06-20T12:47:45.245199,A,240p,200,393.39,1.017,16.89,10.21,20.98,1,0,0.0,0
26,2026-06-20T12:47:46.673245,B,240p,200,906.7,0.441,3.88,8.95,21.55,1,0,0.0,1
27,2026-06-20T12:47:48.685247,B,240p,200,878.48,0.455,3.4,7.84,21.54,1,0,0.0,1
28,2026-06-20T12:47:50.686559,B,240p,200,875.25,0.457,3.22,6.91,21.54,1,0,0.0,1
29,2026-06-20T12:47:53.128376,B,360p,400,890.43,0.898,2.68,6.07,21.1,1,0,0.0,1
