segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-05-19T20:03:16.812791,A,240p,200,1131.06,0.177,17.19,3.44,2.0,1,0,0.0,0
1,2026-05-19T20:03:17.339216,A,480p,700,1330.11,0.526,18.78,6.51,3.82,1,0,0.0,0
2,2026-05-19T20:03:17.894265,A,480p,700,1261.36,0.555,19.52,9.11,5.3,1,0,0.0,0
3,2026-05-19T20:03:18.448926,A,480p,700,1262.3,0.555,25.31,12.35,6.74,1,0,0.0,0
4,2026-05-19T20:03:18.980104,A,480p,700,1318.27,0.531,21.12,14.1,8.19,1,0,0.0,0
5,2026-05-19T20:03:19.555504,A,480p,700,1216.81,0.575,26.51,16.58,9.66,1,0,0.0,0
6,2026-05-19T20:03:20.113114,A,480p,700,1255.62,0.557,23.67,18.0,11.08,1,0,0.0,0
7,2026-05-19T20:03:20.638231,A,480p,700,1333.43,0.525,21.0,18.6,12.52,1,0,0.0,0
8,2026-05-19T20:03:21.193952,A,480p,700,1259.96,0.556,23.47,19.58,14.0,1,0,0.0,0
9,2026-05-19T20:03:21.785186,A,480p,700,1184.23,0.591,23.8,20.42,15.44,1,0,0.0,0
