segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-18T17:00:19.453021,A,240p,200,1244.5,0.321,2.04,0.41,2.0,1,0,0.0,0
1,2026-06-18T17:00:20.783338,A,480p,700,1052.59,1.33,1.96,0.72,2.67,1,0,0.0,0
2,2026-06-18T17:00:21.733370,A,480p,700,1473.86,0.95,1.63,0.9,3.72,1,0,0.0,0
3,2026-06-18T17:00:22.740757,A,480p,700,1390.1,1.007,1.42,1.01,4.71,1,0,0.0,0
4,2026-06-18T17:00:23.678209,A,480p,700,1493.82,0.937,1.65,1.13,5.77,1,0,0.0,0
5,2026-06-18T17:00:24.904051,A,480p,700,1142.34,1.226,1.65,1.24,6.55,1,0,0.0,0
6,2026-06-18T17:00:25.877185,A,480p,700,1439.05,0.973,2.08,1.41,7.58,1,0,0.0,0
7,2026-06-18T17:00:26.934902,A,480p,700,1323.91,1.057,1.27,1.38,8.52,1,0,0.0,0
8,2026-06-18T17:00:28.727687,A,480p,700,781.01,1.793,2.49,1.6,8.73,1,0,0.0,0
9,2026-06-18T17:00:30.496283,A,480p,700,791.71,1.768,1.65,1.61,8.96,1,0,0.0,0
10,2026-06-18T17:00:31.869973,A,480p,700,1019.35,1.373,1.96,1.68,9.58,1,0,0.0,0
11,2026-06-18T17:00:32.624084,A,360p,400,1061.21,0.754,2.8,1.9,10.83,1,0,0.0,0
12,2026-06-18T17:00:33.995526,A,480p,700,1021.02,1.371,1.98,1.92,11.46,1,0,0.0,0
13,2026-06-18T17:00:35.432490,A,480p,700,974.46,1.437,1.89,1.91,12.02,1,0,0.0,0
14,2026-06-18T17:00:36.733078,A,480p,700,1076.66,1.3,2.1,1.95,12.72,1,0,0.0,0
15,2026-06-18T17:00:38.050619,A,480p,700,1062.8,1.317,1.8,1.92,13.4,1,0,0.0,0
16,2026-06-18T17:00:39.585802,A,480p,700,912.09,1.535,2.05,1.95,13.87,1,0,0.0,0
17,2026-06-18T17:00:41.127039,A,480p,700,908.52,1.541,2.08,1.97,14.33,1,0,0.0,0
18,2026-06-18T17:00:42.849660,A,480p,700,812.84,1.722,1.94,1.97,14.6,1,0,0.0,0
19,2026-06-18T17:00:44.496532,A,480p,700,850.24,1.647,1.66,1.9,14.96,1,0,0.0,0
20,2026-06-18T17:00:45.309736,A,360p,400,984.07,0.813,1.98,1.92,16.14,1,0,0.0,0
21,2026-06-18T17:00:46.974196,A,480p,700,841.23,1.664,1.51,1.84,16.48,1,0,0.0,0
22,2026-06-18T17:00:48.435102,A,480p,700,958.47,1.461,1.9,1.85,17.02,1,0,0.0,0
23,2026-06-18T17:00:50.112434,A,480p,700,834.8,1.677,2.13,1.91,17.34,1,0,0.0,0
24,2026-06-18T17:00:51.728717,A,480p,700,866.33,1.616,1.99,1.92,17.72,1,0,0.0,0
25,2026-06-18T17:00:53.286407,A,480p,700,898.93,1.557,1.59,1.86,18.17,1,0,0.0,0
26,2026-06-18T17:00:54.194963,A,360p,400,880.79,0.908,2.81,2.05,19.26,1,0,0.0,0
27,2026-06-18T17:00:55.569479,A,480p,700,1018.75,1.374,1.71,1.98,19.88,1,0,0.0,0
28,2026-06-18T17:00:56.870503,A,480p,700,1076.31,1.301,2.19,2.02,20.58,1,0,0.0,0
29,2026-06-18T17:00:58.940748,A,480p,700,944.43,1.482,1.93,2.0,20.51,1,0,0.0,0
