segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-18T17:05:44.308000,A,240p,200,1233.01,0.324,3.69,0.74,2.0,1,0,0.0,0
1,2026-06-18T17:05:44.636546,A,240p,200,1218.83,0.328,2.92,1.17,3.67,1,0,0.0,0
2,2026-06-18T17:05:45.263943,A,360p,400,1276.33,0.627,2.67,1.47,5.04,1,0,0.0,0
3,2026-06-18T17:05:45.913636,A,360p,400,1232.41,0.649,2.1,1.6,6.39,1,0,0.0,0
4,2026-06-18T17:05:47.052395,A,480p,700,1230.1,1.138,1.95,1.67,7.26,1,0,0.0,0
5,2026-06-18T17:05:48.216855,A,480p,700,1203.02,1.164,1.55,1.65,8.09,1,0,0.0,0
6,2026-06-18T17:05:48.924070,A,480p,700,1205.69,0.707,1.17,1.55,9.38,1,0,0.0,0
7,2026-06-18T17:05:50.552984,B,480p,700,860.25,1.627,1.81,1.6,9.76,1,0,0.0,1
8,2026-06-18T17:05:52.146119,B,480p,700,879.17,1.592,2.24,1.73,10.16,1,0,0.0,1
9,2026-06-18T17:05:53.746906,B,480p,700,875.01,1.6,2.54,1.89,10.56,1,0,0.0,1
10,2026-06-18T17:05:55.363125,B,480p,700,866.63,1.615,2.09,1.93,10.94,1,0,0.0,1
11,2026-06-18T17:05:56.975868,B,480p,700,868.47,1.612,2.22,1.99,11.33,1,0,0.0,1
12,2026-06-18T17:05:58.594876,B,480p,700,865.11,1.618,1.71,1.93,11.71,1,0,0.0,1
13,2026-06-18T17:06:00.205586,B,480p,700,869.58,1.61,2.2,1.99,12.1,1,0,0.0,1
14,2026-06-18T17:06:01.793996,B,480p,700,881.77,1.588,2.73,2.13,12.51,1,0,0.0,1
15,2026-06-18T17:06:03.405632,B,480p,700,869.06,1.611,1.79,2.06,12.9,1,0,0.0,1
16,2026-06-18T17:06:05.030676,B,480p,700,861.96,1.624,1.65,1.98,13.28,1,0,0.0,1
17,2026-06-18T17:06:06.629123,B,480p,700,876.28,1.598,2.26,2.04,13.68,1,0,0.0,1
18,2026-06-18T17:06:08.246888,B,480p,700,865.68,1.617,1.8,1.99,14.06,1,0,0.0,1
19,2026-06-18T17:06:09.864435,B,480p,700,865.83,1.617,2.08,2.01,14.44,1,0,0.0,1
20,2026-06-18T17:06:11.468618,B,480p,700,873.03,1.604,1.91,1.99,14.84,1,0,0.0,1
21,2026-06-18T17:06:13.083752,B,480p,700,867.06,1.615,2.08,2.01,15.22,1,0,0.0,1
22,2026-06-18T17:06:14.704795,B,480p,700,863.92,1.621,1.88,1.98,15.6,1,0,0.0,1
23,2026-06-18T17:06:16.307755,B,480p,700,873.74,1.602,2.25,2.04,16.0,1,0,0.0,1
24,2026-06-18T17:06:17.929487,B,480p,700,863.68,1.621,1.6,1.95,16.38,1,0,0.0,1
25,2026-06-18T17:06:19.530312,B,480p,700,874.91,1.6,2.11,1.98,16.78,1,0,0.0,1
26,2026-06-18T17:06:21.142792,B,480p,700,868.58,1.612,1.8,1.95,17.17,1,0,0.0,1
27,2026-06-18T17:06:22.742602,B,480p,700,875.5,1.599,2.17,1.99,17.57,1,0,0.0,1
28,2026-06-18T17:06:24.342449,B,480p,700,875.44,1.599,2.12,2.02,17.97,1,0,0.0,1
29,2026-06-18T17:06:25.954000,B,480p,700,869.07,1.611,1.89,1.99,18.35,1,0,0.0,1
