segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-24T14:55:42.389028,A,240p,200,1219.65,0.328,1.97,0.39,2.0,1,0,0.0,0
1,2026-06-24T14:55:42.719716,A,240p,200,1210.81,0.33,1.92,0.7,3.67,1,0,0.0,0
2,2026-06-24T14:55:43.345841,A,360p,400,1278.77,0.626,2.06,0.97,5.04,1,0,0.0,0
3,2026-06-24T14:55:43.988317,A,360p,400,1246.37,0.642,1.81,1.14,6.4,1,0,0.0,0
4,2026-06-24T14:55:45.081206,A,480p,700,1281.78,1.092,2.2,1.35,7.31,1,0,0.0,0
5,2026-06-24T14:55:46.192058,A,480p,700,1261.15,1.11,1.77,1.44,8.2,1,0,0.0,0
6,2026-06-24T14:55:47.291006,A,480p,700,1274.69,1.098,1.64,1.48,9.1,1,0,0.0,0
7,2026-06-24T14:55:48.393793,A,480p,700,1270.46,1.102,1.85,1.55,10.0,1,0,0.0,0
8,2026-06-24T14:55:49.509063,A,480p,700,1256.11,1.115,1.24,1.49,10.88,1,0,0.0,0
9,2026-06-24T14:55:50.628744,A,480p,700,1251.13,1.119,1.45,1.48,11.76,1,0,0.0,0
10,2026-06-24T14:55:51.744989,A,480p,700,1255.0,1.116,1.18,1.42,12.64,1,0,0.0,0
11,2026-06-24T14:55:52.872475,A,480p,700,1242.4,1.127,1.06,1.35,13.52,1,0,0.0,0
12,2026-06-24T14:55:53.979242,A,480p,700,1265.4,1.106,1.99,1.48,14.41,1,0,0.0,0
13,2026-06-24T14:55:54.105318,A,480p,700,1045.75,0.125,1.63,1.51,16.28,1,0,0.0,0
14,2026-06-24T14:55:55.679490,B,480p,700,890.96,1.571,1.97,1.6,16.71,1,0,0.0,1
15,2026-06-24T14:55:57.276400,B,480p,700,877.07,1.596,1.1,1.5,17.11,1,0,0.0,1
16,2026-06-24T14:55:58.863160,B,480p,700,882.69,1.586,1.51,1.5,17.53,1,0,0.0,1
17,2026-06-24T14:56:00.437263,B,480p,700,889.8,1.573,1.97,1.6,17.95,1,0,0.0,1
18,2026-06-24T14:56:02.012138,B,480p,700,889.18,1.574,1.4,1.56,18.38,1,0,0.0,1
19,2026-06-24T14:56:03.579075,B,480p,700,893.63,1.567,1.25,1.5,18.81,1,0,0.0,1
20,2026-06-24T14:56:05.149304,B,480p,700,892.03,1.569,1.7,1.54,19.24,1,0,0.0,1
21,2026-06-24T14:56:06.727544,B,480p,700,887.48,1.577,1.95,1.62,19.66,1,0,0.0,1
22,2026-06-24T14:56:08.325696,B,480p,700,876.38,1.597,1.13,1.52,20.06,1,0,0.0,1
23,2026-06-24T14:56:09.962754,B,480p,700,891.75,1.57,1.68,1.55,20.43,1,0,0.0,1
24,2026-06-24T14:56:11.963194,B,480p,700,891.65,1.57,1.75,1.59,20.43,1,0,0.0,1
25,2026-06-24T14:56:13.952182,B,480p,700,897.73,1.559,2.0,1.67,20.44,1,0,0.0,1
26,2026-06-24T14:56:15.966925,B,480p,700,890.61,1.572,1.83,1.71,20.42,1,0,0.0,1
27,2026-06-24T14:56:17.960029,B,480p,700,894.47,1.565,1.92,1.75,20.43,1,0,0.0,1
28,2026-06-24T14:56:19.954679,B,480p,700,897.54,1.56,1.96,1.79,20.43,1,0,0.0,1
29,2026-06-24T14:56:21.965722,B,480p,700,889.96,1.573,1.87,1.81,20.42,1,0,0.0,1
30,2026-06-24T14:56:23.984614,B,480p,700,880.64,1.59,1.26,1.7,20.4,1,0,0.0,1
31,2026-06-24T14:56:25.967912,B,480p,700,890.02,1.573,1.91,1.74,20.42,1,0,0.0,1
32,2026-06-24T14:56:27.957769,B,480p,700,895.76,1.563,1.84,1.76,20.43,1,0,0.0,1
33,2026-06-24T14:56:29.979743,B,480p,700,883.33,1.585,1.44,1.7,20.41,1,0,0.0,1
34,2026-06-24T14:56:31.959777,B,480p,700,893.66,1.567,2.03,1.76,20.43,1,0,0.0,1
35,2026-06-24T14:56:33.966873,B,480p,700,889.8,1.573,1.64,1.74,20.42,1,0,0.0,1
36,2026-06-24T14:56:35.978308,B,480p,700,881.41,1.588,1.57,1.7,20.41,1,0,0.0,1
37,2026-06-24T14:56:37.956250,B,480p,700,895.6,1.563,1.92,1.75,20.43,1,0,0.0,1
38,2026-06-24T14:56:39.967338,B,480p,700,890.25,1.573,1.82,1.76,20.42,1,0,0.0,1
39,2026-06-24T14:56:41.983580,B,480p,700,881.09,1.589,1.37,1.68,20.41,1,0,0.0,1
