segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T13:48:42.255710,A,240p,200,885.79,0.226,23.48,4.7,2.0,1,0,0.0,0
1,2026-06-21T13:48:42.454467,A,240p,200,1007.56,0.198,34.97,10.75,3.8,1,0,0.0,0
2,2026-06-21T13:48:42.709482,A,240p,200,785.26,0.255,31.2,14.84,5.55,1,0,0.0,0
3,2026-06-21T13:48:43.088175,A,360p,400,1057.2,0.378,24.79,16.83,7.17,1,0,0.0,0
4,2026-06-21T13:48:43.498857,A,360p,400,974.8,0.41,43.33,22.13,8.76,1,0,0.0,0
5,2026-06-21T13:48:43.878072,A,360p,400,1055.44,0.379,29.62,23.63,10.38,1,0,0.0,0
6,2026-06-21T13:48:45.757639,A,480p,600,400.94,1.496,124.21,43.75,10.5,1,0,0.0,0
7,2026-06-21T13:48:47.060186,A,480p,600,746.38,0.804,51.28,45.25,11.2,1,0,0.0,0
8,2026-06-21T13:48:48.828630,A,480p,600,1057.31,0.567,37.42,43.69,11.43,1,0,0.0,0
9,2026-06-21T13:48:50.778230,A,480p,600,1160.38,0.517,29.71,40.89,11.48,1,0,0.0,0
10,2026-06-21T13:48:52.758190,A,480p,600,1207.22,0.497,27.35,38.18,11.5,1,0,0.0,0
11,2026-06-21T13:48:54.808282,A,480p,600,1096.63,0.547,36.05,37.76,11.45,1,0,0.0,0
12,2026-06-21T13:48:56.861756,A,480p,600,999.02,0.601,38.42,37.89,11.39,1,0,0.0,0
13,2026-06-21T13:48:58.768004,A,480p,600,1183.73,0.507,28.48,36.01,11.49,1,0,0.0,0
14,2026-06-21T13:49:00.827689,A,480p,600,1050.35,0.571,37.04,36.21,11.43,1,0,0.0,0
15,2026-06-21T13:49:02.903741,A,480p,600,933.69,0.643,32.49,35.47,11.35,1,0,0.0,0
16,2026-06-21T13:49:04.705432,A,480p,600,1345.66,0.446,27.23,33.82,11.55,1,0,0.0,0
17,2026-06-21T13:49:06.755285,A,480p,600,1214.28,0.494,30.22,33.1,11.5,1,0,0.0,0
18,2026-06-21T13:49:08.808686,A,480p,600,1095.84,0.548,30.76,32.63,11.45,1,0,0.0,0
19,2026-06-21T13:49:10.758551,A,480p,600,1195.22,0.502,29.69,32.04,11.5,1,0,0.0,0
