segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T14:18:32.343394,A,240p,200,919.17,0.435,7.09,1.42,2.0,1,0,0.0,0
1,2026-06-21T14:18:32.763074,A,240p,200,953.76,0.419,15.15,4.16,3.58,1,0,0.0,0
2,2026-06-21T14:18:33.544381,A,360p,400,1024.42,0.781,14.69,6.27,4.8,1,0,0.0,0
3,2026-06-21T14:18:35.120992,A,360p,400,1034.59,0.773,11.86,7.39,5.22,1,0,0.0,0
4,2026-06-21T14:18:37.674471,A,480p,700,1052.96,1.33,11.39,8.19,4.67,1,0,0.0,0
5,2026-06-21T14:18:39.730483,A,480p,700,1013.2,1.382,11.26,8.8,4.61,1,0,0.0,0
6,2026-06-21T14:18:41.658591,A,480p,700,1065.72,1.314,14.32,9.91,4.68,1,0,0.0,0
7,2026-06-21T14:18:43.696880,A,480p,700,1038.5,1.348,14.3,10.78,4.65,1,0,0.0,0
8,2026-06-21T14:18:45.970973,A,480p,700,861.0,1.626,11.2,10.87,4.37,1,0,0.0,0
9,2026-06-21T14:18:47.709955,A,480p,700,1028.75,1.361,12.44,11.18,4.63,1,0,0.0,0
10,2026-06-21T14:18:52.188847,A,480p,700,364.61,3.84,10.6,11.07,2.15,1,0,0.0,0
11,2026-06-21T14:18:54.436152,A,360p,400,356.09,2.247,12.6,11.37,2.0,1,1,0.093,0
12,2026-06-21T14:18:55.570723,A,240p,200,352.77,1.134,15.66,12.23,2.87,1,0,0.0,0
13,2026-06-21T14:18:56.743938,A,240p,200,341.04,1.173,14.04,12.59,3.69,1,0,0.0,0
14,2026-06-21T14:18:57.866639,A,240p,200,356.47,1.122,14.89,13.05,4.57,1,0,0.0,0
15,2026-06-21T14:18:59.616366,A,240p,200,339.44,1.178,16.2,13.68,4.82,1,0,0.0,0
16,2026-06-21T14:19:01.693467,A,240p,200,319.57,1.252,20.91,15.13,4.74,1,0,0.0,0
17,2026-06-21T14:19:03.675563,A,240p,200,324.17,1.234,15.17,15.14,4.76,1,0,0.0,0
18,2026-06-21T14:19:05.708736,A,240p,200,315.69,1.267,14.88,15.09,4.73,1,0,0.0,0
19,2026-06-21T14:19:07.679770,A,240p,200,323.02,1.238,15.23,15.12,4.76,1,0,0.0,0
20,2026-06-21T14:19:09.633627,A,240p,200,335.65,1.192,16.26,15.35,4.8,1,0,0.0,0
21,2026-06-21T14:19:11.716144,A,240p,200,313.9,1.274,14.05,15.09,4.72,1,0,0.0,0
22,2026-06-21T14:19:13.641817,A,240p,200,333.34,1.2,21.17,16.3,4.79,1,0,0.0,0
23,2026-06-21T14:19:15.763039,A,240p,200,302.58,1.322,17.14,16.47,4.67,1,0,0.0,0
24,2026-06-21T14:19:17.695363,A,240p,200,319.04,1.254,19.54,17.08,4.74,1,0,0.0,0
25,2026-06-21T14:19:19.748037,A,240p,200,306.15,1.307,14.78,16.62,4.69,1,0,0.0,0
26,2026-06-21T14:19:21.689620,A,240p,200,320.57,1.248,17.6,16.82,4.75,1,0,0.0,0
27,2026-06-21T14:19:23.640747,A,240p,200,333.56,1.199,13.67,16.19,4.8,1,0,0.0,0
28,2026-06-21T14:19:25.562203,A,240p,200,355.88,1.124,16.44,16.24,4.87,1,0,0.0,0
29,2026-06-21T14:19:27.678865,A,240p,200,322.64,1.24,13.25,15.64,4.76,1,0,0.0,0
