segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-07T16:27:55.604507,A,240p,200,1102.26,0.181,16.22,3.24,2.0,1,0,0.0,0
1,2026-06-07T16:27:56.159611,A,480p,700,1261.31,0.555,26.25,7.85,3.44,1,0,0.0,0
2,2026-06-07T16:27:56.704610,A,480p,700,1284.78,0.545,17.21,9.72,4.9,1,0,0.0,0
3,2026-06-07T16:27:57.255808,A,480p,700,1270.26,0.551,16.29,11.03,6.35,1,0,0.0,0
4,2026-06-07T16:27:57.808494,A,480p,700,1266.91,0.553,17.6,12.35,7.8,1,0,0.0,0
5,2026-06-07T16:27:58.350112,A,480p,700,1292.73,0.541,17.48,13.37,9.25,1,0,0.0,0
6,2026-06-07T16:27:58.895964,A,480p,700,1282.83,0.546,18.51,14.4,10.71,1,0,0.0,0
7,2026-06-07T16:27:59.456143,A,480p,700,1249.99,0.56,19.85,15.49,12.15,1,0,0.0,0
8,2026-06-07T16:28:00.000491,A,480p,700,1286.39,0.544,18.4,16.07,13.6,1,0,0.0,0
9,2026-06-07T16:28:00.550848,A,480p,700,1272.28,0.55,18.33,16.52,15.05,1,0,0.0,0
10,2026-06-07T16:28:01.111649,A,480p,700,1248.5,0.561,17.55,16.73,16.49,1,0,0.0,0
11,2026-06-07T16:28:01.676213,A,480p,700,1240.22,0.564,16.35,16.65,17.93,1,0,0.0,0
12,2026-06-07T16:28:02.207767,A,480p,700,1317.34,0.531,16.58,16.64,19.4,1,0,0.0,0
13,2026-06-07T16:28:02.756347,A,480p,700,1276.46,0.548,15.01,16.31,20.85,1,0,0.0,0
14,2026-06-07T16:28:04.141622,A,480p,700,1308.74,0.535,20.35,17.12,21.46,1,0,0.0,0
15,2026-06-07T16:28:06.194574,A,480p,700,1196.95,0.585,21.64,18.03,21.41,1,0,0.0,0
16,2026-06-07T16:28:08.205068,A,480p,700,1167.13,0.6,21.85,18.79,21.4,1,0,0.0,0
17,2026-06-07T16:28:10.164012,A,480p,700,1262.91,0.554,18.74,18.78,21.44,1,0,0.0,0
18,2026-06-07T16:28:12.199214,A,480p,700,1183.74,0.591,20.7,19.16,21.41,1,0,0.0,0
19,2026-06-07T16:28:14.221095,A,480p,700,1141.59,0.613,26.46,20.62,21.38,1,0,0.0,0
20,2026-06-07T16:28:16.200036,A,480p,700,1182.18,0.592,21.98,20.89,21.4,1,0,0.0,0
21,2026-06-07T16:28:18.157603,A,480p,700,1277.74,0.548,20.32,20.78,21.45,1,0,0.0,0
22,2026-06-07T16:28:20.214844,A,480p,700,1150.27,0.609,18.92,20.41,21.39,1,0,0.0,0
23,2026-06-07T16:28:22.212113,A,480p,700,1157.83,0.605,18.69,20.06,21.39,1,0,0.0,0
24,2026-06-07T16:28:24.161480,A,480p,700,1268.72,0.552,19.36,19.92,21.44,1,0,0.0,0
25,2026-06-07T16:28:26.215951,A,480p,700,1150.57,0.608,21.14,20.17,21.39,1,0,0.0,0
26,2026-06-07T16:28:28.207196,A,480p,700,1167.41,0.6,20.92,20.32,21.4,1,0,0.0,0
27,2026-06-07T16:28:30.137568,A,480p,700,1326.22,0.528,19.06,20.07,21.47,1,0,0.0,0
28,2026-06-07T16:28:32.186746,A,480p,700,1213.2,0.577,19.33,19.92,21.42,1,0,0.0,0
29,2026-06-07T16:28:34.142764,A,480p,700,1308.06,0.535,20.39,20.01,21.46,1,0,0.0,0
