segment,timestamp,server_id,quality,bitrate_kbps,throughput_kbps,download_time_s,jitter_network_ms,jitter_ewma_ms,buffer_level_s,buffer_can_play,rebuffer_event,stall_duration_s,failover_total
0,2026-06-21T13:49:35.847083,A,240p,200,903.31,0.221,32.94,6.59,2.0,1,0,0.0,0
1,2026-06-21T13:49:36.083886,A,240p,200,845.32,0.237,44.26,14.12,3.76,1,0,0.0,0
2,2026-06-21T13:49:36.274287,A,240p,200,1054.16,0.19,18.29,14.96,5.57,1,0,0.0,0
3,2026-06-21T13:49:36.666399,A,360p,400,1021.82,0.391,35.32,19.03,7.18,1,0,0.0,0
4,2026-06-21T13:49:37.009830,A,360p,400,1167.16,0.343,35.23,22.27,8.84,1,0,0.0,0
5,2026-06-21T13:49:37.419158,A,360p,400,979.0,0.409,26.97,23.21,10.43,1,0,0.0,0
6,2026-06-21T13:49:37.773109,A,360p,400,1132.5,0.353,22.41,23.05,12.07,1,0,0.0,0
7,2026-06-21T13:49:38.088411,A,360p,400,1271.56,0.315,20.75,22.59,13.76,1,0,0.0,0
8,2026-06-21T13:49:38.595295,A,480p,600,1185.45,0.506,34.72,25.02,15.25,1,0,0.0,0
9,2026-06-21T13:49:39.094703,A,480p,600,1203.15,0.499,25.3,25.07,16.75,1,0,0.0,0
10,2026-06-21T13:49:39.842030,A,720p,900,1205.49,0.747,31.94,26.45,18.01,1,0,0.0,0
11,2026-06-21T13:49:40.618023,A,720p,900,1160.86,0.775,30.4,27.24,19.23,1,0,0.0,0
12,2026-06-21T13:49:41.325737,A,720p,900,1273.0,0.707,21.14,26.02,20.52,1,0,0.0,0
13,2026-06-21T13:49:42.659047,A,720p,900,1116.49,0.806,40.36,28.89,21.19,1,0,0.0,0
14,2026-06-21T13:49:44.983198,A,720p,900,796.11,1.131,53.27,33.76,20.86,1,0,0.0,0
15,2026-06-21T13:49:46.430373,A,480p,600,1039.02,0.577,37.26,34.46,21.42,1,0,0.0,0
16,2026-06-21T13:49:48.396582,A,480p,600,1103.66,0.544,28.86,33.34,21.45,1,0,0.0,0
17,2026-06-21T13:49:50.410426,A,480p,600,1076.07,0.558,37.49,34.17,21.44,1,0,0.0,0
18,2026-06-21T13:49:52.321369,A,480p,600,1279.58,0.469,26.98,32.74,21.53,1,0,0.0,0
19,2026-06-21T13:49:54.420344,A,480p,600,1057.36,0.567,31.49,32.49,21.43,1,0,0.0,0
20,2026-06-21T13:49:56.419440,A,480p,600,1059.06,0.567,36.52,33.29,21.43,1,0,0.0,0
21,2026-06-21T13:49:58.576643,A,480p,600,828.97,0.724,46.63,35.96,21.27,1,0,0.0,0
22,2026-06-21T13:50:00.381673,A,480p,600,1134.68,0.529,26.56,34.08,21.47,1,0,0.0,0
23,2026-06-21T13:50:02.419911,A,480p,600,1050.54,0.571,31.39,33.54,21.43,1,0,0.0,0
24,2026-06-21T13:50:04.390897,A,480p,600,1106.51,0.542,30.29,32.89,21.46,1,0,0.0,0
25,2026-06-21T13:50:06.479930,A,480p,600,950.79,0.631,36.8,33.67,21.37,1,0,0.0,0
26,2026-06-21T13:50:08.610853,A,480p,600,791.58,0.758,42.03,35.35,21.24,1,0,0.0,0
27,2026-06-21T13:50:10.386991,A,360p,400,749.8,0.533,54.53,39.18,21.46,1,0,0.0,0
28,2026-06-21T13:50:12.279174,A,360p,400,938.4,0.426,33.89,38.12,21.57,1,0,0.0,0
29,2026-06-21T13:50:14.268254,A,360p,400,953.37,0.42,40.41,38.58,21.58,1,0,0.0,0
30,2026-06-21T13:50:16.338092,A,360p,400,824.32,0.485,49.44,40.75,21.51,1,0,0.0,0
31,2026-06-21T13:50:18.361397,A,360p,400,786.56,0.509,56.86,43.98,21.49,1,0,0.0,0
32,2026-06-21T13:50:20.334717,A,360p,400,830.23,0.482,49.44,45.07,21.51,1,0,0.0,0
33,2026-06-21T13:50:22.289598,A,360p,400,915.9,0.437,33.57,42.77,21.56,1,0,0.0,0
34,2026-06-21T13:50:24.550206,A,360p,400,573.67,0.697,60.68,46.35,21.3,1,0,0.0,0
35,2026-06-21T13:50:26.818743,A,240p,200,207.1,0.966,186.65,74.41,21.03,1,0,0.0,0
36,2026-06-21T13:50:28.062620,A,240p,200,944.93,0.212,20.9,63.71,21.78,1,0,0.0,0
37,2026-06-21T13:50:30.297105,A,240p,200,448.08,0.446,66.86,64.34,21.55,1,0,0.0,0
38,2026-06-21T13:50:32.571427,A,240p,200,278.35,0.719,120.81,75.63,21.28,1,0,0.0,0
39,2026-06-21T13:50:34.491148,A,240p,200,313.36,0.638,99.74,80.45,21.36,1,0,0.0,0
